amount,date,spender,recipient
19240366.18,2012-01-01,"Direktion für Sicherheit, Umwelt und Energie (SUE)",Sanitätspolizei
18954068.33,2011-01-01,"Direktion für Sicherheit, Umwelt und Energie (SUE)",Sanitätspolizei
19427455.68,2010-01-01,"Direktion für Sicherheit, Umwelt und Energie (SUE)",Sanitätspolizei
18598443.79,2009-01-01,"Direktion für Sicherheit, Umwelt und Energie (SUE)",Sanitätspolizei
26158215.16,2012-01-01,"Direktion für Sicherheit, Umwelt und Energie (SUE)","Feuerwehr, Zivilschutz und Quartieramt"
25950691.78,2011-01-01,"Direktion für Sicherheit, Umwelt und Energie (SUE)","Feuerwehr, Zivilschutz und Quartieramt"
24808468.87,2010-01-01,"Direktion für Sicherheit, Umwelt und Energie (SUE)","Feuerwehr, Zivilschutz und Quartieramt"
24118579.0,2009-01-01,"Direktion für Sicherheit, Umwelt und Energie (SUE)","Feuerwehr, Zivilschutz und Quartieramt"
4091820.48,2012-01-01,"Direktion für Sicherheit, Umwelt und Energie (SUE)",Wirtschaftsamt
4618816.48,2011-01-01,"Direktion für Sicherheit, Umwelt und Energie (SUE)",Wirtschaftsamt
4706868.42,2010-01-01,"Direktion für Sicherheit, Umwelt und Energie (SUE)",Wirtschaftsamt
4181724.09,2009-01-01,"Direktion für Sicherheit, Umwelt und Energie (SUE)",Wirtschaftsamt
9841066.66,2012-01-01,"Direktion für Sicherheit, Umwelt und Energie (SUE)",Tierpark
9465746.630000001,2011-01-01,"Direktion für Sicherheit, Umwelt und Energie (SUE)",Tierpark
9406971.199999999,2010-01-01,"Direktion für Sicherheit, Umwelt und Energie (SUE)",Tierpark
8322205.57,2009-01-01,"Direktion für Sicherheit, Umwelt und Energie (SUE)",Tierpark
13568825.8,2012-01-01,"Direktion für Sicherheit, Umwelt und Energie (SUE)",Amt für Erwachsenen- und Kindesschutz
12752696.89,2011-01-01,"Direktion für Sicherheit, Umwelt und Energie (SUE)",Amt für Erwachsenen- und Kindesschutz
11655729.83,2010-01-01,"Direktion für Sicherheit, Umwelt und Energie (SUE)",Amt für Erwachsenen- und Kindesschutz
10923975.55,2009-01-01,"Direktion für Sicherheit, Umwelt und Energie (SUE)",Amt für Erwachsenen- und Kindesschutz
0.0,2012-01-01,"Direktion für Sicherheit, Umwelt und Energie (SUE)",Energie Wasser Bern (ewb)
0.0,2011-01-01,"Direktion für Sicherheit, Umwelt und Energie (SUE)",Energie Wasser Bern (ewb)
0.0,2010-01-01,"Direktion für Sicherheit, Umwelt und Energie (SUE)",Energie Wasser Bern (ewb)
0.0,2009-01-01,"Direktion für Sicherheit, Umwelt und Energie (SUE)",Energie Wasser Bern (ewb)
81668109.34999999,2012-01-01,"Direktion für Bildung, Soziales und Sport (BSS)","Direktionsstabsdienste, Koordinationsstelle Sucht und Kompetenzzentrum Integration"
67444348.8,2011-01-01,"Direktion für Bildung, Soziales und Sport (BSS)","Direktionsstabsdienste, Koordinationsstelle Sucht und Kompetenzzentrum Integration"
62101726.68,2010-01-01,"Direktion für Bildung, Soziales und Sport (BSS)","Direktionsstabsdienste, Koordinationsstelle Sucht und Kompetenzzentrum Integration"
60092259.21,2009-01-01,"Direktion für Bildung, Soziales und Sport (BSS)","Direktionsstabsdienste, Koordinationsstelle Sucht und Kompetenzzentrum Integration"
135745419.42,2012-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Sozialamt
133865716.46,2011-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Sozialamt
130878751.26,2010-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Sozialamt
125378523.11,2009-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Sozialamt
114661207.0,2012-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Schulamt
116336400.59,2011-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Schulamt
117868841.3,2010-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Schulamt
112048287.23,2009-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Schulamt
59512596.45,2012-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Jugendamt
57866073.91,2011-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Jugendamt
51259589.47,2010-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Jugendamt
49553736.15,2009-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Jugendamt
53971434.96,2012-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Alters- und Versicherungsamt
57759978.08,2011-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Alters- und Versicherungsamt
69979017.91,2010-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Alters- und Versicherungsamt
69816115.14,2009-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Alters- und Versicherungsamt
5913346.88,2012-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Schulzahnmedizinischer Dienst
5908969.36,2011-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Schulzahnmedizinischer Dienst
5580937.3,2010-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Schulzahnmedizinischer Dienst
5287972.59,2009-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Schulzahnmedizinischer Dienst
5614822.96,2012-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Gesundheitsdienst
5404023.08,2011-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Gesundheitsdienst
5669484.55,2010-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Gesundheitsdienst
5279523.64,2009-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Gesundheitsdienst
28149019.33,2012-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Sportamt
26691164.62,2011-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Sportamt
25720243.3,2010-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Sportamt
26628806.03,2009-01-01,"Direktion für Bildung, Soziales und Sport (BSS)",Sportamt
33525935.04,2012-01-01,"Direktion für Tiefbau, Verkehr und Stadtgrün (TVS)",Direktionsstabsdienste (light)
32950575.45,2011-01-01,"Direktion für Tiefbau, Verkehr und Stadtgrün (TVS)",Direktionsstabsdienste (light)
33933663.98,2010-01-01,"Direktion für Tiefbau, Verkehr und Stadtgrün (TVS)",Direktionsstabsdienste (light)
31791411.24,2009-01-01,"Direktion für Tiefbau, Verkehr und Stadtgrün (TVS)",Direktionsstabsdienste (light)
77112407.42,2012-01-01,"Direktion für Tiefbau, Verkehr und Stadtgrün (TVS)",Tiefbauamt
78351643.52,2011-01-01,"Direktion für Tiefbau, Verkehr und Stadtgrün (TVS)",Tiefbauamt
78654789.94,2010-01-01,"Direktion für Tiefbau, Verkehr und Stadtgrün (TVS)",Tiefbauamt
77443234.55,2009-01-01,"Direktion für Tiefbau, Verkehr und Stadtgrün (TVS)",Tiefbauamt
27790698.71,2012-01-01,"Direktion für Tiefbau, Verkehr und Stadtgrün (TVS)",Stadtgärtnerei/Friedhöfe
26993487.41,2011-01-01,"Direktion für Tiefbau, Verkehr und Stadtgrün (TVS)",Stadtgärtnerei/Friedhöfe
27014396.43,2010-01-01,"Direktion für Tiefbau, Verkehr und Stadtgrün (TVS)",Stadtgärtnerei/Friedhöfe
37446221.62,2009-01-01,"Direktion für Tiefbau, Verkehr und Stadtgrün (TVS)",Stadtgärtnerei/Friedhöfe
5167163.86,2012-01-01,"Direktion für Tiefbau, Verkehr und Stadtgrün (TVS)",Vermessungsamt
5065653.32,2011-01-01,"Direktion für Tiefbau, Verkehr und Stadtgrün (TVS)",Vermessungsamt
4911964.21,2010-01-01,"Direktion für Tiefbau, Verkehr und Stadtgrün (TVS)",Vermessungsamt
4850612.48,2009-01-01,"Direktion für Tiefbau, Verkehr und Stadtgrün (TVS)",Vermessungsamt
5362413.86,2012-01-01,"Direktion für Tiefbau, Verkehr und Stadtgrün (TVS)",Verkehrsplanung
4489188.25,2011-01-01,"Direktion für Tiefbau, Verkehr und Stadtgrün (TVS)",Verkehrsplanung
6324955.98,2010-01-01,"Direktion für Tiefbau, Verkehr und Stadtgrün (TVS)",Verkehrsplanung
7019697.31,2009-01-01,"Direktion für Tiefbau, Verkehr und Stadtgrün (TVS)",Verkehrsplanung
1788731.8,2012-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Direktionsstabsdienste / Fachstelle Beschaffungswesen
1807547.33,2011-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Direktionsstabsdienste / Fachstelle Beschaffungswesen
1619341.26,2010-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Direktionsstabsdienste / Fachstelle Beschaffungswesen
1603742.42,2009-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Direktionsstabsdienste / Fachstelle Beschaffungswesen
112217412.59,2012-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Finanzverwaltung
104214138.44,2011-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Finanzverwaltung
139253047.42,2010-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Finanzverwaltung
150850252.71,2009-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Finanzverwaltung
3178600.0,2012-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Liegenschaftsverwaltung
3518621.11,2011-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Liegenschaftsverwaltung
2979282.52,2010-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Liegenschaftsverwaltung
8097397.69,2009-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Liegenschaftsverwaltung
20895220.12,2012-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Steuerverwaltung
20827808.0,2011-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Steuerverwaltung
19542467.37,2010-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Steuerverwaltung
20897324.72,2009-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Steuerverwaltung
5955823.8,2012-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Personalamt
5818473.23,2011-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Personalamt
4989246.16,2010-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Personalamt
4783987.44,2009-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Personalamt
18423614.86,2012-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Informatikdienste
21913747.93,2011-01-01,"Direktion für Finanzen, Personal und Informatik (FPI)",Informatikdienste
